physical_record_id,station_id,station_name,city_band,zone,site_type,operator_code,connector_capacity,operating_start_hour,operating_end_hour,is_24x7,commission_date,station_status,latitude_band,longitude_band,source_system
STNREC000033,STN0033,Hyderabad Central Charge Hub 033,Hyderabad,Central,OFFICE_PARK,OP03,9,5,22,False,2022-01-19,ACTIVE,8.0266,72.0532,CHARGEIQ_STATION_MASTER
STNREC000034,STN0034,Bengaluru East Charge Hub 034,Bengaluru,East,MALL,OP04,8,6,23,False,2024-01-07,ACTIVE,10.5172,72.9532,CHARGEIQ_STATION_MASTER
STNREC000035,STN0035,Pune Highway Corridor Charge Hub 035,Pune,Highway Corridor,PUBLIC_PARKING,OP05,9,0,24,True,2022-08-24,ACTIVE,13.3381,74.3741,CHARGEIQ_STATION_MASTER
STNREC000036,STN0036,Chennai North Charge Hub 036,Chennai,North,PUBLIC_PARKING,OP06,6,0,24,True,2023-08-17,ACTIVE,16.3261,75.5383,CHARGEIQ_STATION_MASTER
STNREC000037,STN0037,Delhi NCR West Charge Hub 037,Delhi NCR,West,RESIDENTIAL_CLUSTER,OP01,7,7,23,False,2023-07-24,ACTIVE,18.5249,76.9747,CHARGEIQ_STATION_MASTER
STNREC000038,STN0038,Mumbai Transit District Charge Hub 038,Mumbai,Transit District,HIGHWAY_STOP,OP02,5,0,24,True,2025-05-18,ACTIVE,21.3239,78.1956,CHARGEIQ_STATION_MASTER
STNREC000039,STN0039,Ahmedabad South Charge Hub 039,Ahmedabad,South,METRO_HUB,OP03,9,0,24,True,2023-08-24,ACTIVE,23.9106,79.3061,CHARGEIQ_STATION_MASTER
STNREC000040,STN0040,Kochi Outer Ring Charge Hub 040,Kochi,Outer Ring,OFFICE_PARK,OP04,5,7,22,False,2023-07-29,ACTIVE,26.9093,80.2552,CHARGEIQ_STATION_MASTER
STNREC000041,STN0041,Hyderabad Central Charge Hub 041,Hyderabad,Central,MALL,OP05,5,5,22,False,2023-10-12,ACTIVE,8.2111,71.7706,CHARGEIQ_STATION_MASTER
STNREC000042,STN0042,Bengaluru East Charge Hub 042,Bengaluru,East,PUBLIC_PARKING,OP06,5,0,24,True,2024-09-12,ACTIVE,10.6155,73.054,CHARGEIQ_STATION_MASTER
STNREC000043,STN0043,Pune Highway Corridor Charge Hub 043,Pune,Highway Corridor,PUBLIC_PARKING,OP01,7,0,24,True,2024-05-28,ACTIVE,13.1442,74.2301,CHARGEIQ_STATION_MASTER
STNREC000044,STN0044,Chennai North Charge Hub 044,Chennai,North,RESIDENTIAL_CLUSTER,OP02,5,0,24,True,2022-12-17,ACTIVE,15.8338,75.6523,CHARGEIQ_STATION_MASTER
STNREC000045,STN0045,Delhi NCR West Charge Hub 045,Delhi NCR,West,HIGHWAY_STOP,OP03,4,0,24,True,2023-12-11,ACTIVE,18.744,76.6388,CHARGEIQ_STATION_MASTER
STNREC000046,STN0046,Mumbai Transit District Charge Hub 046,Mumbai,Transit District,METRO_HUB,OP04,5,8,21,False,2023-05-09,ACTIVE,21.2244,77.7783,CHARGEIQ_STATION_MASTER
STNREC000047,STN0047,Ahmedabad South Charge Hub 047,Ahmedabad,South,OFFICE_PARK,OP05,5,6,22,False,2023-01-22,ACTIVE,23.9829,79.4233,CHARGEIQ_STATION_MASTER
STNREC000048,STN0048,Kochi Outer Ring Charge Hub 048,Kochi,Outer Ring,MALL,OP06,6,0,24,True,2024-02-14,ACTIVE,26.6145,80.3673,CHARGEIQ_STATION_MASTER
STNREC000049,STN0049,Hyderabad Central Charge Hub 049,Hyderabad,Central,PUBLIC_PARKING,OP01,8,0,24,True,2022-11-12,ACTIVE,7.8548,72.0461,CHARGEIQ_STATION_MASTER
STNREC000050,STN0050,Bengaluru East Charge Hub 050,Bengaluru,East,PUBLIC_PARKING,OP02,5,0,24,True,2022-10-19,ACTIVE,10.6708,73.3438,CHARGEIQ_STATION_MASTER
STNREC000051,STN0051,Pune Highway Corridor Charge Hub 051,Pune,Highway Corridor,RESIDENTIAL_CLUSTER,OP03,6,0,24,True,2022-07-13,ACTIVE,13.1385,74.6432,CHARGEIQ_STATION_MASTER
STNREC000052,STN0052,Chennai North Charge Hub 052,Chennai,North,HIGHWAY_STOP,OP04,5,0,24,True,2024-03-05,ACTIVE,15.8925,75.5562,CHARGEIQ_STATION_MASTER
STNREC000053,STN0053,Delhi NCR West Charge Hub 053,Delhi NCR,West,METRO_HUB,OP05,7,0,24,True,2023-02-02,ACTIVE,19.0109,76.7796,CHARGEIQ_STATION_MASTER
STNREC000054,STN0054,Mumbai Transit District Charge Hub 054,Mumbai,Transit District,OFFICE_PARK,OP06,12,0,24,True,2022-06-28,ACTIVE,21.2326,77.7011,CHARGEIQ_STATION_MASTER
STNREC000055,STN0055,Ahmedabad South Charge Hub 055,Ahmedabad,South,MALL,OP01,5,6,21,False,2023-07-18,ACTIVE,24.3353,79.2143,CHARGEIQ_STATION_MASTER
STNREC000056,STN0056,Kochi Outer Ring Charge Hub 056,Kochi,Outer Ring,PUBLIC_PARKING,OP02,6,0,24,True,2024-09-24,ACTIVE,26.9044,80.3599,CHARGEIQ_STATION_MASTER
STNREC000057,STN0057,Hyderabad Central Charge Hub 057,Hyderabad,Central,PUBLIC_PARKING,OP03,6,0,24,True,2023-12-17,ACTIVE,7.7682,71.737,CHARGEIQ_STATION_MASTER
STNREC000058,STN0058,Bengaluru East Charge Hub 058,Bengaluru,East,RESIDENTIAL_CLUSTER,OP04,7,5,22,False,2025-05-04,ACTIVE,10.9531,72.929,CHARGEIQ_STATION_MASTER
STNREC000059,STN0059,Pune Highway Corridor Charge Hub 059,Pune,Highway Corridor,HIGHWAY_STOP,OP05,6,0,24,True,2022-05-16,ACTIVE,13.6654,74.466,CHARGEIQ_STATION_MASTER
STNREC000060,STN0060,Chennai North Charge Hub 060,Chennai,North,METRO_HUB,OP06,5,7,22,False,2022-03-03,ACTIVE,16.0308,75.4916,CHARGEIQ_STATION_MASTER
STNREC000061,STN0061,Delhi NCR West Charge Hub 061,Delhi NCR,West,OFFICE_PARK,OP01,7,5,22,False,2022-11-18,ACTIVE,19.0505,76.8293,CHARGEIQ_STATION_MASTER
STNREC000062,STN0062,Mumbai Transit District Charge Hub 062,Mumbai,Transit District,MALL,OP02,7,7,23,False,2023-12-18,ACTIVE,21.6541,78.044,CHARGEIQ_STATION_MASTER
STNREC000063,STN0063,Ahmedabad South Charge Hub 063,Ahmedabad,South,PUBLIC_PARKING,OP03,10,0,24,True,2022-07-01,ACTIVE,24.152,79.1984,CHARGEIQ_STATION_MASTER
STNREC000064,STN0064,Kochi Outer Ring Charge Hub 064,Kochi,Outer Ring,PUBLIC_PARKING,OP04,7,0,24,True,2024-03-13,ACTIVE,27.1944,80.5834,CHARGEIQ_STATION_MASTER
STNREC000065,STN0065,Hyderabad Central Charge Hub 065,Hyderabad,Central,RESIDENTIAL_CLUSTER,OP05,5,0,24,True,2025-01-23,ACTIVE,8.0859,71.7513,CHARGEIQ_STATION_MASTER
STNREC000066,STN0066,Bengaluru East Charge Hub 066,Bengaluru,East,HIGHWAY_STOP,OP06,6,0,24,True,2024-09-13,ACTIVE,10.6588,73.3928,CHARGEIQ_STATION_MASTER
STNREC000067,STN0067,Pune Highway Corridor Charge Hub 067,Pune,Highway Corridor,METRO_HUB,OP01,7,6,21,False,2022-12-14,ACTIVE,13.4854,74.3947,CHARGEIQ_STATION_MASTER
STNREC000068,STN0068,Chennai North Charge Hub 068,Chennai,North,OFFICE_PARK,OP02,6,8,21,False,2023-11-15,ACTIVE,16.1049,75.4826,CHARGEIQ_STATION_MASTER
STNREC000069,STN0069,Delhi NCR West Charge Hub 069,Delhi NCR,West,MALL,OP03,5,0,24,True,2023-06-06,ACTIVE,18.5589,76.8845,CHARGEIQ_STATION_MASTER
STNREC000070,STN0070,Mumbai Transit District Charge Hub 070,Mumbai,Transit District,PUBLIC_PARKING,OP04,6,0,24,True,2022-05-12,ACTIVE,21.761,77.7261,CHARGEIQ_STATION_MASTER
STNREC000071,STN0071,Ahmedabad South Charge Hub 071,Ahmedabad,South,PUBLIC_PARKING,OP05,7,0,24,True,2024-01-08,ACTIVE,24.2832,79.4805,CHARGEIQ_STATION_MASTER
STNREC000072,STN0072,Kochi Outer Ring Charge Hub 072,Kochi,Outer Ring,RESIDENTIAL_CLUSTER,OP06,7,5,21,False,2023-12-27,ACTIVE,26.8809,80.2465,CHARGEIQ_STATION_MASTER
STNREC000073,STN0073,Hyderabad Central Charge Hub 073,Hyderabad,Central,HIGHWAY_STOP,OP01,8,0,24,True,2025-06-04,ACTIVE,8.123,72.0405,CHARGEIQ_STATION_MASTER
STNREC000074,STN0074,Bengaluru East Charge Hub 074,Bengaluru,East,METRO_HUB,OP02,9,6,23,False,2024-09-04,ACTIVE,10.6287,72.9018,CHARGEIQ_STATION_MASTER
STNREC000075,STN0075,Pune Highway Corridor Charge Hub 075,Pune,Highway Corridor,OFFICE_PARK,OP03,6,5,22,False,2022-06-10,ACTIVE,13.5434,74.1187,CHARGEIQ_STATION_MASTER
STNREC000076,STN0076,Chennai North Charge Hub 076,Chennai,North,MALL,OP04,8,5,21,False,2022-11-01,ACTIVE,16.1315,75.8999,CHARGEIQ_STATION_MASTER
STNREC000077,STN0077,Delhi NCR West Charge Hub 077,Delhi NCR,West,PUBLIC_PARKING,OP05,4,0,24,True,2024-08-19,ACTIVE,18.9293,76.838,CHARGEIQ_STATION_MASTER
STNREC000078,STN0078,Mumbai Transit District Charge Hub 078,Mumbai,Transit District,PUBLIC_PARKING,OP06,4,0,24,True,2024-06-30,ACTIVE,21.5308,78.1573,CHARGEIQ_STATION_MASTER
STNREC000079,STN0079,Ahmedabad South Charge Hub 079,Ahmedabad,South,RESIDENTIAL_CLUSTER,OP01,6,7,23,False,2022-03-05,ACTIVE,23.9558,78.9004,CHARGEIQ_STATION_MASTER
STNREC000080,STN0080,Kochi Outer Ring Charge Hub 080,Kochi,Outer Ring,HIGHWAY_STOP,OP02,4,0,24,True,2022-04-02,ACTIVE,27.1425,80.6662,CHARGEIQ_STATION_MASTER
STNREC000081,STN0081,Hyderabad Central Charge Hub 081,Hyderabad,Central,METRO_HUB,OP03,7,0,24,True,2023-03-28,ACTIVE,7.8445,71.7613,CHARGEIQ_STATION_MASTER
STNREC000082,STN0082,Bengaluru East Charge Hub 082,Bengaluru,East,OFFICE_PARK,OP04,6,8,22,False,2023-07-01,ACTIVE,10.6948,73.4989,CHARGEIQ_STATION_MASTER
STNREC000083,STN0083,Pune Highway Corridor Charge Hub 083,Pune,Highway Corridor,MALL,OP05,8,0,24,True,2023-07-31,ACTIVE,13.4321,74.4572,CHARGEIQ_STATION_MASTER
STNREC000084,STN0084,Chennai North Charge Hub 084,Chennai,North,PUBLIC_PARKING,OP06,5,0,24,True,2024-02-29,ACTIVE,15.8904,75.5336,CHARGEIQ_STATION_MASTER
STNREC000085,STN0085,Delhi NCR West Charge Hub 085,Delhi NCR,West,PUBLIC_PARKING,OP01,5,0,24,True,2024-10-03,ACTIVE,18.5793,76.768,CHARGEIQ_STATION_MASTER
STNREC000086,STN0086,Mumbai Transit District Charge Hub 086,Mumbai,Transit District,RESIDENTIAL_CLUSTER,OP02,10,8,21,False,2025-02-21,ACTIVE,21.5249,77.8598,CHARGEIQ_STATION_MASTER
STNREC000087,STN0087,Ahmedabad South Charge Hub 087,Ahmedabad,South,HIGHWAY_STOP,OP03,6,0,24,True,2025-02-24,ACTIVE,24.2105,78.9486,CHARGEIQ_STATION_MASTER
STNREC000088,STN0088,Kochi Outer Ring Charge Hub 088,Kochi,Outer Ring,METRO_HUB,OP04,8,7,23,False,2025-06-12,ACTIVE,26.9434,80.4702,CHARGEIQ_STATION_MASTER
STNREC000089,STN0089,Hyderabad Central Charge Hub 089,Hyderabad,Central,OFFICE_PARK,OP05,9,8,21,False,2022-01-29,ACTIVE,8.219,71.9137,CHARGEIQ_STATION_MASTER
STNREC000090,STN0090,Bengaluru East Charge Hub 090,Bengaluru,East,MALL,OP06,8,5,21,False,2022-04-07,ACTIVE,10.6064,73.2271,CHARGEIQ_STATION_MASTER
STNREC000091,STN0091,Pune Highway Corridor Charge Hub 091,Pune,Highway Corridor,PUBLIC_PARKING,OP01,9,0,24,True,2025-07-05,ACTIVE,13.2185,74.6784,CHARGEIQ_STATION_MASTER
STNREC000092,STN0092,Chennai North Charge Hub 092,Chennai,North,PUBLIC_PARKING,OP02,5,0,24,True,2023-02-27,ACTIVE,15.9189,75.5082,CHARGEIQ_STATION_MASTER
STNREC000093,STN0093,Delhi NCR West Charge Hub 093,Delhi NCR,West,RESIDENTIAL_CLUSTER,OP03,8,8,23,False,2022-10-20,ACTIVE,18.8312,76.7821,CHARGEIQ_STATION_MASTER
STNREC000094,STN0094,Mumbai Transit District Charge Hub 094,Mumbai,Transit District,HIGHWAY_STOP,OP04,7,0,24,True,2023-07-31,ACTIVE,21.3383,78.2648,CHARGEIQ_STATION_MASTER
STNREC000095,STN0095,Ahmedabad South Charge Hub 095,Ahmedabad,South,METRO_HUB,OP05,7,5,22,False,2022-09-19,ACTIVE,24.3985,79.1172,CHARGEIQ_STATION_MASTER
STNREC000096,STN0096,Kochi Outer Ring Charge Hub 096,Kochi,Outer Ring,OFFICE_PARK,OP06,5,0,24,True,2024-10-19,ACTIVE,26.922,80.3766,CHARGEIQ_STATION_MASTER
STNREC000097,STN0097,Hyderabad Central Charge Hub 097,Hyderabad,Central,MALL,OP01,7,6,22,False,2023-03-23,ACTIVE,7.9749,72.069,CHARGEIQ_STATION_MASTER
STNREC000098,STN0098,Bengaluru East Charge Hub 098,Bengaluru,East,PUBLIC_PARKING,OP02,7,0,24,True,2025-01-19,ACTIVE,10.7266,73.4514,CHARGEIQ_STATION_MASTER
STNREC000099,STN0099,Pune Highway Corridor Charge Hub 099,Pune,Highway Corridor,PUBLIC_PARKING,OP03,6,0,24,True,2022-09-12,ACTIVE,13.292,74.3067,CHARGEIQ_STATION_MASTER
STNREC000100,STN0100,Chennai North Charge Hub 100,Chennai,North,RESIDENTIAL_CLUSTER,OP04,6,5,23,False,2022-11-16,ACTIVE,16.0217,75.4405,CHARGEIQ_STATION_MASTER
STNREC000101,STN0101,Delhi NCR West Charge Hub 101,Delhi NCR,West,HIGHWAY_STOP,OP05,7,0,24,True,2023-01-15,ACTIVE,19.0691,77.0715,CHARGEIQ_STATION_MASTER
STNREC000102,STN0102,Mumbai Transit District Charge Hub 102,Mumbai,Transit District,METRO_HUB,OP06,8,7,23,False,2023-08-17,ACTIVE,21.6997,77.7508,CHARGEIQ_STATION_MASTER
STNREC000103,STN0103,Ahmedabad South Charge Hub 103,Ahmedabad,South,OFFICE_PARK,OP01,8,0,24,True,2022-05-31,ACTIVE,24.0957,78.9361,CHARGEIQ_STATION_MASTER
STNREC000104,STN0104,Kochi Outer Ring Charge Hub 104,Kochi,Outer Ring,MALL,OP02,5,8,21,False,2023-11-13,ACTIVE,26.828,80.3193,CHARGEIQ_STATION_MASTER
STNREC000105,STN0105,Hyderabad Central Charge Hub 105,Hyderabad,Central,PUBLIC_PARKING,OP03,6,0,24,True,2025-03-09,ACTIVE,7.8698,71.9587,CHARGEIQ_STATION_MASTER
STNREC000106,STN0106,Bengaluru East Charge Hub 106,Bengaluru,East,PUBLIC_PARKING,OP04,8,0,24,True,2022-01-14,ACTIVE,10.8669,73.3205,CHARGEIQ_STATION_MASTER
STNREC000107,STN0107,Pune Highway Corridor Charge Hub 107,Pune,Highway Corridor,RESIDENTIAL_CLUSTER,OP05,7,6,22,False,2025-01-07,ACTIVE,13.2125,74.187,CHARGEIQ_STATION_MASTER
STNREC000108,STN0108,Chennai North Charge Hub 108,Chennai,North,HIGHWAY_STOP,OP06,5,0,24,True,2024-10-13,ACTIVE,16.2704,75.5232,CHARGEIQ_STATION_MASTER
STNREC000109,STN0109,Delhi NCR West Charge Hub 109,Delhi NCR,West,METRO_HUB,OP01,8,0,24,True,2024-10-12,ACTIVE,18.5285,77.0337,CHARGEIQ_STATION_MASTER
STNREC000110,STN0110,Mumbai Transit District Charge Hub 110,Mumbai,Transit District,OFFICE_PARK,OP02,7,5,23,False,2025-01-23,ACTIVE,21.6152,77.8702,CHARGEIQ_STATION_MASTER
STNREC000111,STN0111,Ahmedabad South Charge Hub 111,Ahmedabad,South,MALL,OP03,6,7,21,False,2024-06-22,ACTIVE,24.3031,78.9831,CHARGEIQ_STATION_MASTER
STNREC000112,STN0112,Kochi Outer Ring Charge Hub 112,Kochi,Outer Ring,PUBLIC_PARKING,OP04,5,0,24,True,2022-08-10,ACTIVE,27.0203,80.2788,CHARGEIQ_STATION_MASTER
STNREC000113,STN0113,Hyderabad Central Charge Hub 113,Hyderabad,Central,PUBLIC_PARKING,OP05,7,0,24,True,2022-04-18,ACTIVE,7.9992,72.1775,CHARGEIQ_STATION_MASTER
STNREC000114,STN0114,Bengaluru East Charge Hub 114,Bengaluru,East,RESIDENTIAL_CLUSTER,OP06,7,6,23,False,2022-04-16,ACTIVE,10.9343,73.0277,CHARGEIQ_STATION_MASTER
STNREC000115,STN0115,Pune Highway Corridor Charge Hub 115,Pune,Highway Corridor,HIGHWAY_STOP,OP01,7,0,24,True,2024-10-05,ACTIVE,13.2166,74.5712,CHARGEIQ_STATION_MASTER
STNREC000116,STN0116,Chennai North Charge Hub 116,Chennai,North,METRO_HUB,OP02,5,7,23,False,2024-05-30,ACTIVE,15.9505,75.5827,CHARGEIQ_STATION_MASTER
STNREC000117,STN0117,Delhi NCR West Charge Hub 117,Delhi NCR,West,OFFICE_PARK,OP03,6,0,24,True,2023-05-19,ACTIVE,18.7024,76.6873,CHARGEIQ_STATION_MASTER
STNREC000118,STN0118,Mumbai Transit District Charge Hub 118,Mumbai,Transit District,MALL,OP04,6,5,23,False,2025-01-20,ACTIVE,21.3145,77.9541,CHARGEIQ_STATION_MASTER
STNREC000119,STN0119,Ahmedabad South Charge Hub 119,Ahmedabad,South,PUBLIC_PARKING,OP05,9,0,24,True,2022-02-28,ACTIVE,24.4319,79.4028,CHARGEIQ_STATION_MASTER
STNREC000120,STN0120,Kochi Outer Ring Charge Hub 120,Kochi,Outer Ring,PUBLIC_PARKING,OP06,11,0,24,True,2024-06-09,ACTIVE,27.0911,80.192,CHARGEIQ_STATION_MASTER
STNREC000121,STN0121,Hyderabad Central Charge Hub 121,Hyderabad,Central,RESIDENTIAL_CLUSTER,OP01,8,7,21,False,2024-02-14,ACTIVE,7.8284,71.9824,CHARGEIQ_STATION_MASTER
STNREC000122,STN0122,Bengaluru East Charge Hub 122,Bengaluru,East,HIGHWAY_STOP,OP02,7,0,24,True,2025-01-29,ACTIVE,10.488,73.2625,CHARGEIQ_STATION_MASTER
STNREC000123,STN0123,Pune Highway Corridor Charge Hub 123,Pune,Highway Corridor,METRO_HUB,OP03,7,5,23,False,2022-07-01,ACTIVE,13.3778,74.1226,CHARGEIQ_STATION_MASTER
STNREC000124,STN0124,Chennai North Charge Hub 124,Chennai,North,OFFICE_PARK,OP04,6,6,21,False,2023-12-04,ACTIVE,16.0171,75.6015,CHARGEIQ_STATION_MASTER
STNREC000125,STN0125,Delhi NCR West Charge Hub 125,Delhi NCR,West,MALL,OP05,10,0,24,True,2022-05-17,ACTIVE,19.0181,76.8026,CHARGEIQ_STATION_MASTER
STNREC000126,STN0126,Mumbai Transit District Charge Hub 126,Mumbai,Transit District,PUBLIC_PARKING,OP06,7,0,24,True,2024-12-07,ACTIVE,21.4683,77.9058,CHARGEIQ_STATION_MASTER
STNREC000127,STN0127,Ahmedabad South Charge Hub 127,Ahmedabad,South,PUBLIC_PARKING,OP01,8,0,24,True,2024-10-29,ACTIVE,24.1966,79.335,CHARGEIQ_STATION_MASTER
STNREC000128,STN0128,Kochi Outer Ring Charge Hub 128,Kochi,Outer Ring,RESIDENTIAL_CLUSTER,OP02,5,8,22,False,2024-09-14,ACTIVE,26.9339,80.6077,CHARGEIQ_STATION_MASTER
STNREC000129,STN0129,Hyderabad Central Charge Hub 129,Hyderabad,Central,HIGHWAY_STOP,OP03,9,0,24,True,2022-04-30,ACTIVE,7.8167,72.2838,CHARGEIQ_STATION_MASTER
STNREC000130,STN0130,Bengaluru East Charge Hub 130,Bengaluru,East,METRO_HUB,OP04,7,0,24,True,2025-05-19,ACTIVE,10.737,73.1006,CHARGEIQ_STATION_MASTER
STNREC000131,STN0131,Pune Highway Corridor Charge Hub 131,Pune,Highway Corridor,OFFICE_PARK,OP05,9,6,23,False,2024-02-18,ACTIVE,13.2735,74.1705,CHARGEIQ_STATION_MASTER
STNREC000132,STN0132,Chennai North Charge Hub 132,Chennai,North,MALL,OP06,7,7,22,False,2022-09-29,ACTIVE,16.1202,75.6582,CHARGEIQ_STATION_MASTER
STNREC000133,STN0133,Delhi NCR West Charge Hub 133,Delhi NCR,West,PUBLIC_PARKING,OP01,6,0,24,True,2025-06-28,ACTIVE,18.9097,76.5893,CHARGEIQ_STATION_MASTER
